driverId,week,hours-logged,miles-logged
62,22,53,3200
31,45,74,2100
57,1,73,1100
95,43,51,1400
83,18,69,2600
21,4,60,2400
106,24,50,3400
21,35,67,1700
53,4,73,2100
38,45,68,500
25,51,58,400
41,37,51,2300
85,40,69,1600
26,1,50,200
99,15,63,1700
69,18,71,700
44,37,59,1800
42,44,53,2100
65,12,57,1300
83,9,79,1000
39,42,68,3600
105,45,74,0
80,24,73,4000
97,44,68,2900
84,12,65,3500
109,4,65,3200
14,52,76,3900
24,26,60,100
34,14,52,500
75,7,80,1500
105,46,53,2700
71,51,53,2800
36,11,73,1300
17,24,53,1700
77,35,70,2100
58,10,52,1100
14,15,68,1900
75,37,77,300
102,45,74,2400
67,26,76,3200
106,1,71,2900
30,51,73,2300
20,32,77,1500
44,28,77,600
44,34,66,500
43,36,67,3300
28,40,66,2900
93,23,63,3600
67,42,68,200
98,16,52,3400
89,16,80,0
33,45,71,2100
42,32,72,1300
103,40,77,0
53,14,58,200
53,43,58,400
23,52,63,1200
38,27,80,2900
69,42,67,3000
74,31,63,900
10,17,70,1400
62,41,52,600
104,43,53,1000
74,38,79,3100
83,45,59,700
76,34,80,2600
92,20,72,2500
52,14,65,1000
74,14,50,500
55,38,61,3700
100,17,67,400
28,22,64,2400
57,36,68,1500
10,29,50,2300
96,47,65,3000
68,37,70,2700
109,3,65,1000
44,12,80,2300
16,10,55,2800
36,44,55,1300
10,39,55,2900
33,22,60,2400
56,41,79,3200
35,18,74,3000
75,16,70,300
49,26,51,0
58,42,80,3800
109,11,73,1800
28,9,75,1700
97,34,74,4000
65,22,77,3400
98,29,55,500
22,49,71,2200
99,28,53,900
11,24,80,1800
41,15,54,1400
82,11,71,3900
26,2,76,0
32,39,68,300
12,27,54,1400
101,47,73,900
12,31,55,1600
87,27,53,1300
26,18,74,1900
76,27,69,2300
27,41,73,2500
14,43,58,1500
79,2,54,2900
20,16,59,2900
20,11,77,1100
90,20,78,2500
58,27,80,2700
89,13,70,2200
25,43,69,1900
42,47,56,3400
49,41,76,1100
109,3,54,2400
94,4,80,1000
106,26,78,0
27,34,68,3900
104,38,59,3300
20,25,78,1900
36,47,52,1700
47,45,70,200
25,45,59,2800
105,1,76,3300
31,40,65,3300
89,35,60,700
19,52,75,600
72,48,79,4000
49,33,55,3400
51,6,52,200
108,21,51,2100
47,30,77,400
11,47,77,300
107,23,50,2600
71,21,79,3700
38,38,59,2200
78,31,56,3700
61,30,74,400
19,34,61,2100
42,33,55,500
72,38,73,600
105,31,56,1800
44,11,70,1400
50,16,78,2500
94,3,75,1600
87,17,73,1000
96,24,57,3600
33,44,70,3300
23,49,70,2400
23,37,66,1100
22,34,80,1200
108,17,67,2600
108,32,80,1000
74,16,50,1100
63,48,56,3300
80,30,70,1100
79,11,53,1600
83,17,58,900
34,36,67,3800
14,41,67,4000
78,32,71,200
38,24,69,2800
41,25,53,1800
35,38,57,1200
81,31,53,3500
91,49,77,1800
42,13,59,500
51,9,71,1400
104,2,75,1500
57,45,59,1100
44,51,69,3500
19,10,61,1500
47,13,65,2400
91,46,60,2000
66,3,58,4000
98,51,66,1500
26,36,78,2600
42,20,56,900
81,4,69,3100
35,31,76,500
17,37,75,3300
52,43,63,100
87,20,77,3500
22,23,52,1400
36,3,80,900
103,26,73,300
74,15,55,1300
58,41,58,3600
21,17,58,2800
28,47,74,1900
78,51,52,2300
11,50,71,2700
79,20,52,900
100,40,51,3100
85,29,50,3300
75,20,53,900
10,51,68,0
69,36,75,2000
35,2,56,2100
33,42,76,1500
87,35,75,3600
105,14,79,2900
102,12,69,3600
65,46,59,3300
89,6,60,1800
23,17,56,3100
78,18,64,3300
30,32,63,2600
49,22,67,800
56,37,74,2700
27,16,53,3900
84,6,66,2900
37,12,57,1500
106,41,58,300
94,27,53,600
71,23,73,3700
87,11,74,2900
